,Race Times Matching VDOT,,,,,Training Paces,,,
VDOT,5k Race,"Mile
Race",10K,Half-Marathon,Marathon,Easy or Long Mile Pace per mile,Threshold pace per mile,Interval pace per 400 meters,Repetition Pace per 400 meters
,,,,,,,,,
30,30:40:00,9:11,6346,221,4:49,12:16,10:18,2:22,2:16
32,29:05:00,8:41,6026,214,4:34,11:41,9:47,2:14,2:08
34,27:39:00,8:14,5726,207,4:22,11:09,9:20,2:08,2:02
36,26:22:00,7:49,5444,201,4:10,10:40,8:55,2:02,1:55
38,25:12:00,7:27,5217,156,3:59,10:14,8:33,1:56,1:50
40,24:08:00,7:07,5003,151,3:49,9:50,8:12,1:52,1:46
42,23:09,6:49,4801,146,3:40,9:28,7:52,1:48,1:42
44,22:15,6:32,4609,142,3:32,9:07,7:33,1:44,98
45,21:50,6:25,4516,140,3:28,8:58,7:25,1:42,96
46,21:25,6:17,4425,138,3:24,8:48,7:17,1:40,94
47,21:02,6:10,4336,13638,3:21,8:39,7:10,98,92
48,20:39,6:03,4250,13453,3:17,8:31,7:02,96,90
49,20:18,5:56,4204,133,3:14,8:22,6:55,95,89
50,19:57,5:50,4121,131,3:10,8:14,6:51,93,8'7
51,19:36,5:44,4039,130,3:07,8:07,6:44,92,86
52,19:17,5:38,3959,128,3:04,7:59,6:38,91,85
53,18:58,5:32,3920,127,3:01,7:52,6:32,90,84
54,18:40,5:27,3842,125,2:58,7:45,6:26,88,82
55,18:22,5:21,3806,124,2:56,7:38,6:20,87,81
56,18:05,5:16,3731,123,2:53,7:31,6:15,86,80
57,17:49,5:11,3657,122,2:50,7:25,6:09,85,79
58,17:33,5:06,3624,120,2:48,7:19,6:04,83,77
59,17:17,5:02,3552,119,2:45,7:13,5:59,82,76
60,l7:03,4:57,3522,118,2:43,7:07,5:54,81,75
61,16:48,4:53,3452,117,2:41,7:01,5:50,80,74
62,16:34,4:49,3423,116,2:38,6:56,5:45,79,73
63,16:20,4:45,3355,115,2:36,6:50,5:41,78,72
64,16:07,4:41,3328,114,2:34,6:45,5:36,77,71
65,15:54,4:37,3301,113,2:32,6:40,5:32,76,70
66,15:42,4:33,3235,112,2:30,6:53,5:28,75,69
67,15:29,4:30,3211,111,2:28,6:30,5:24,74,68
68,15:18,4:26,3146,110,2:26,6:26,5:20,73,67
69,15:06,4:23,3123,109,2:24,6:21,5:16,72,62
70,14:55,4:19,3100,108,2:23,6:17,5:13,71,65
71,14:44,4:16,3038,107,2:21,6:12,5:09,70,64
72,14:33,4:13,3016,106,2:20,6:08,5:05,69,63
73,14:23,4:10,2955,105,2:18,6:04,5:02,69,62
74,14:13,4:07,2934,1:04:30,2:16,6:00,4:59,68,62
75,14:03,4:04,2914,1:04:00,2:14,5:56,4:56,67,61
76,13:54,4:02,2855,1:03:39,2:13,5:52,4:52,66,60
77,13:44,3:58,2836,1:02:56,2:12,5:48,4:49,65,59
78,13:35,3:56,2817,62:34:00,2:11,5:45,4:46,65,59
79,13:26,3:54,2759,1:01:00,2:09,5:41,4:43,64,58
80,13:18,3:51,2741,1:00:45,2:08,5:38,4:41,64,53
81,13:09,3:49,2724,1:00:15,2:06,5:34,4:38,63,57
82,13:01,3:46,2707,59:38:00,2:05,5:31,4:35,62,56
83,12:53,3:44,2651,59:01:00,2:03,5:28,4:32,62,56
84,12:45,3:42,2634,58:25:00,2:02,5:25,4:30,61,55
85,12:37,3:40,2619,57:50:00,2:01,5:21,4:27,61,55
